ann_id,Label,Start,End,Text,FileNo
T29,DISO,113,117,angi,4
T30,DISO,552,571,oma renal bilateral,4
T31,PROC,331,342,seguimiento,4
T32,DISO,94,97,sín,4
T33,DISO,97,100,tom,4
T34,DISO,67,69,at,4
T35,DISO,545,561,ologia miccional,4
T36,PROC,386,397,tratamiento,4
T37,DISO,289,297,síntomas,4
T38,DISO,445,457,lesión renal,4
T1,DISO,1,26,hemorragia digestiva alta,5
T2,CHEM,9,17,aspirina,5
T3,DISO,63,94,accidente isquémico transitorio,5
T4,PROC,58,77,tratamiento crónico,5
T5,CHEM,13,16,tri,5
T6,CHEM,6,7,f,5
T7,CHEM,25,29,usal,5
T8,DISO,211,241,dolor en hemiabdomen izquierdo,5
T9,DISO,145,163,cortejo vegetativo,5
T10,PROC,100,111,exploración,5
T11,PROC,161,177,tensión arterial,5
T12,PROC,210,229,frecuencia cardíaca,5
T13,DISO,361,391,dolor en fosa ilíaca izquierda,5
T14,PROC,118,127,hemograma,5
T15,PROC,155,166,hemoglobina,5
T16,PROC,136,145,plaquetas,5
T17,PROC,353,375,estudio de coagulación,5
T18,PROC,511,541,bioquímica elemental de sangre,5
T19,PROC,361,381,sistemático de orina,5
T20,PROC,343,361,electrocardiograma,5
T21,PROC,541,568,radiografía simple de tórax,5
T22,PROC,736,771,tomografía computarizada de abdomen,5
T23,DISO,177,185,hematoma,5
T24,ANAT,484,505,celda renal izquierda,5
T25,ANAT,169,176,líquido,5
T26,ANAT,526,547,suprarrenal izquierda,5
T27,DISO,79,82,HTA,5
T28,PROC,298,309,tratamiento,5
T29,CHEM,309,320,analgésicos,5
T30,CHEM,668,691,antagonistas del calcio,5
T31,CHEM,1771,1830,inhibidores de la enzima convertidora de la angiotensina II,5
T32,PROC,559,577,cifras tensionales,5
T33,PROC,737,760,tratamiento intravenoso,5
T34,CHEM,166,171,nitro,5
T35,CHEM,69,71,pr,5
T36,CHEM,141,145,usia,5
T37,CHEM,73,75,to,5
T38,CHEM,112,115,lab,5
T39,CHEM,153,157,etal,5
T40,CHEM,79,81,ol,5
T41,PROC,121,124,yug,5
T42,DISO,780,799,crisis hipertensiva,5
T43,PROC,463,474,hemoglobina,5
T44,PROC,474,485,hematocrito,5
T45,DISO,881,901,rotura no traumática,5
T46,DISO,631,645,feocromocitoma,5
T47,PROC,231,236,metan,5
T48,PROC,48,49,e,5
T49,PROC,97,99,fr,5
T50,PROC,785,801,inas plasmáticas,5
T51,PROC,651,664,catecolaminas,5
T52,PROC,256,261,metan,5
T53,PROC,53,54,e,5
T54,PROC,107,109,fr,5
T55,PROC,757,771,inas urinarias,5
T56,ANAT,276,281,orina,5
T57,PROC,393,400,ingreso,5
T58,CHEM,571,581,adrenalina,5
T59,CHEM,755,768,noradrenalina,5
T60,CHEM,296,301,metan,5
T61,CHEM,61,62,e,5
T62,CHEM,306,311,frina,5
T63,CHEM,63,64,n,5
T64,CHEM,253,257,orme,5
T65,CHEM,257,261,tane,5
T66,CHEM,326,331,frina,5
T67,PROC,595,604,ingresado,5
T68,ANAT,604,613,urinarias,5
T69,DISO,545,553,hematoma,5
T70,DISO,1588,1611,imagen pseudo qu ística,5
T71,ANAT,1821,1847,zona suprarrenal izquierda,5
T72,PROC,782,793,suprarrenal,5
T73,PROC,1297,1315,ectomía unilateral,5
T74,PROC,1388,1407,estudio histológico,5
T75,DISO,297,301,masa,5
T76,DISO,1501,1521,necrosis hemorrágica,5
T1,DISO,1,14,recién nacido,6
T2,ANAT,5,9,hemi,6
T3,ANAT,7,10,esc,6
T4,ANAT,7,9,ro,6
T5,ANAT,49,61,to izquierdo,6
T6,DISO,66,79,recién nacido,6
T7,DISO,127,148,llanto incons ol able,6
T8,DISO,43,49,fiebre,6
T9,PROC,89,100,exploración,6
T10,ANAT,37,41,hemi,6
T11,ANAT,31,34,esc,6
T12,ANAT,23,25,ro,6
T13,ANAT,25,27,to,6
T14,DISO,274,295,doloroso manipulación,6
T15,PROC,127,136,hemograma,6
T16,PROC,151,161,bioquímica,6
T17,PROC,353,375,estudio de coagulación,6
T18,PROC,307,325,ecografía escrotal,6
T19,ANAT,235,248,teste derecho,6
T20,ANAT,286,301,teste izquierdo,6
T21,DISO,161,169,necrosis,6
T22,DISO,274,287,calcificación,6
T23,DISO,397,415,torsión testicular,6
T24,PROC,553,577,intervención quiráºrgica,6
T25,PROC,265,276,extirpación,6
T26,ANAT,376,391,teste izquierdo,6
T27,ANAT,339,352,teste derecho,6
T1,DISO,1,29,dolor en hipocondrio derecho,7
T2,DISO,33,65,alteración del hábito intestinal,7
T3,DISO,33,49,síndrome general,7
T4,DISO,52,69,clínica urológica,7
T5,PROC,73,91,exploración física,7
T6,DISO,41,49,obesidad,7
T7,DISO,127,148,hábito c ush ingo ide,7
T8,DISO,57,65,estigmas,7
T9,DISO,113,127,vi ril ización,7
T10,PROC,163,181,cifras tensionales,7
T11,PROC,271,298,auscultación cardiopulmonar,7
T12,ANAT,78,85,abdomen,7
T13,DISO,61,66,masas,7
T14,DISO,66,71,organ,7
T15,DISO,127,136,omegalias,7
T16,DISO,406,433,dolor a la presión profunda,7
T17,ANAT,177,188,hipocondrio,7
T18,DISO,86,91,signo,7
T19,PROC,523,552,exploraciones complementarias,7
T20,PROC,837,881,análisis rutinario bioquímico y hematológico,7
T21,PROC,601,631,pruebas de función suprarrenal,7
T22,PROC,190,199,ecografía,7
T23,DISO,221,231,tumoración,7
T24,ANAT,369,385,área suprarrenal,7
T25,DISO,481,501,metástasis hepáticas,7
T26,PROC,76,79,TAC,7
T27,DISO,105,109,masa,7
T28,ANAT,217,225,pared de,7
T29,ANAT,505,523,vena cava inferior,7
T30,DISO,349,361,infiltración,7
T31,DISO,1111,1148,afectación ganglionar retroperitoneal,7
T32,DISO,311,321,metástasis,7
T33,DISO,545,562,trombosis tumoral,7
T34,PROC,100,103,RMN,7
T35,DISO,987,1016,afectación de tejidos vecinos,7
T36,PROC,106,109,TAC,7
T37,DISO,757,778,infiltración parietal,7
T38,DISO,593,609,masa suprarrenal,7
T39,PROC,457,469,intervención,7
T40,PROC,1717,1761,incisión sub costal derecha trans peritoneal,7
T41,ANAT,1041,1067,región suprarrenal derecha,7
T42,DISO,411,421,tumoración,7
T43,PROC,379,388,disección,7
T44,ANAT,560,573,pared lateral,7
T45,ANAT,397,406,vena cava,7
T46,PROC,361,369,exéresis,7
T47,PROC,645,659,control venoso,7
T48,DISO,189,193,masa,7
T49,PROC,289,295,sutura,7
T50,CHEM,197,201,poli,7
T51,CHEM,301,307,propil,7
T52,CHEM,154,157,eno,7
T53,ANAT,261,266,pared,7
T54,ANAT,955,973,vena cava inferior,7
T55,DISO,757,771,complicaciones,7
T56,PROC,1816,1849,estudio histológico macros cópico,7
T57,ANAT,281,286,pieza,7
T58,ANAT,1027,1045,tejido suprarrenal,7
T59,PROC,639,650,microscopía,7
T60,ANAT,1122,1141,elementos celulares,7
T61,ANAT,301,306,estro,7
T62,ANAT,184,187,mal,7
T63,ANAT,435,442,células,7
T64,PROC,1009,1025,índice mit ótico,7
T65,DISO,1473,1496,necrosis intra tu moral,7
T1,PROC,1,9,consultó,8
T2,DISO,4,7,dis,8
T3,DISO,29,43,estesia facial,8
T4,DISO,49,65,ptosis palpebral,8
T5,DISO,17,21,prop,8
T6,DISO,26,31,tosis,8
T7,ANAT,73,85,globo ocular,8
T8,DISO,148,169,hipertensión arterial,8
T9,PROC,145,163,tratamiento médico,8
T10,PROC,100,111,intervenido,8
T11,DISO,21,23,ul,8
T12,DISO,133,145,cus duodenal,8
T13,DISO,217,235,poliposis laríngea,8
T14,PROC,40,43,Dia,8
T15,PROC,99,106,gnostic,8
T16,PROC,46,49,ado,8
T17,DISO,401,426,adenocarcinoma prostático,8
T18,PROC,358,379,biopsia eco dirig ida,8
T19,PROC,55,58,PSA,8
T20,PROC,96,101,fosfa,8
T21,PROC,61,64,tas,8
T22,PROC,274,287,as alcal inas,8
T23,PROC,265,277,rastreo óseo,8
T24,DISO,369,385,metástasis óseas,8
T25,PROC,265,276,tratamiento,8
T26,CHEM,526,547,análogos de l h - r h,8
T27,CHEM,79,82,flu,8
T28,CHEM,163,169,tamida,8
T29,CHEM,561,581,ácido z ole dr ómico,8
T30,PROC,88,91,PSA,8
T31,PROC,211,218,ingreso,8
T32,DISO,652,673,adormecimiento facial,8
T33,ANAT,97,100,póm,8
T34,ANAT,100,103,ulo,8
T35,ANAT,477,491,labio superior,8
T36,DISO,561,577,ptosis palpebral,8
T37,DISO,613,630,protrusión ocular,8
T38,DISO,297,305,diplopía,8
T39,DISO,837,859,dolor facial ni ocular,8
T40,PROC,703,721,exploración física,8
T41,DISO,641,657,ptosis palpebral,8
T42,ANAT,124,127,ojo,8
T43,DISO,211,216,soplo,8
T44,DISO,560,573,paresia pares,8
T45,DISO,1365,1396,alteraciones en la sensibilidad,8
T46,ANAT,226,231,mitad,8
T47,ANAT,185,189,cara,8
T48,PROC,1975,2017,exploración neurológica motora y sensitiva,8
T49,PROC,1105,1128,pruebas complementarias,8
T50,ANAT,295,301,sangre,8
T51,PROC,151,154,GGT,8
T52,PROC,919,937,fosfatasa alcalina,8
T53,PROC,157,160,PSA,8
T54,PROC,637,649,RMN cerebral,8
T55,PROC,487,496,angio RMN,8
T56,DISO,2091,2129,lesiones isquémicas supra tent oriales,8
T57,DISO,785,799,masa orbitaria,8
T58,ANAT,1426,1451,techo orbitario izquierdo,8
T59,ANAT,1335,1358,máºsculo recto superior,8
T60,ANAT,1299,1321,seno frontal izquierdo,8
T61,DISO,241,245,masa,8
T62,ANAT,1587,1613,reborde orbitario superior,8
T63,DISO,745,757,infiltración,8
T64,ANAT,316,321,grasa,8
T65,ANAT,1665,1691,grasa extrac onal superior,8
T66,DISO,261,265,prop,8
T67,DISO,793,805,tosis ocular,8
T68,DISO,1006,1021,masa expans iva,8
T69,ANAT,1361,1381,seno maxilar derecho,8
T70,ANAT,898,911,pared lateral,8
T71,ANAT,981,995,partes blandas,8
T72,ANAT,1279,1297,suelo de la órbita,8
T73,ANAT,1009,1023,espacio extrac,8
T74,ANAT,1680,1703,máºsculo recto inferior,8
T75,ANAT,1259,1276,senos caver nosos,8
T76,PROC,4651,4713,tomografía axial computer izada toraco - ab dom ino - pélv ica,8
T77,DISO,837,848,patrón óseo,8
T78,DISO,3235,3277,infiltración bl ástico - l ítica vertebral,8
T79,DISO,1795,1818,alteraciones viscerales,8
T80,PROC,870,881,diagnosticó,8
T81,DISO,3121,3160,metástasis de adenocarcinoma prostático,8
T82,ANAT,1621,1641,seno maxilar derecho,8
T83,ANAT,1805,1827,seno frontal izquierdo,8
T84,DISO,831,841,afectación,8
T85,ANAT,757,766,orbitaria,8
T86,ANAT,681,689,superior,8
T87,PROC,1549,1567,radioterapia local,8
T1,DISO,1,9,fumadora,9
T2,DISO,22,43,infecciones urinarias,9
T3,PROC,39,58,ecografía abdominal,9
T4,DISO,43,57,lesión nodular,9
T5,ANAT,29,36,vesical,9
T6,PROC,41,49,consulta,9
T7,PROC,19,22,cis,9
T8,PROC,57,65,toscopia,9
T9,DISO,177,199,tumoración ex of ítica,9
T10,ANAT,109,121,cara lateral,9
T11,ANAT,141,155,mucosa vesical,9
T12,ANAT,67,73,vejiga,9
T13,PROC,133,144,exploración,9
T14,PROC,118,127,anestesia,9
T15,PROC,15,16,E,9
T16,PROC,31,33,BA,9
T17,PROC,369,392,resección trans uretral,9
T18,DISO,103,109,lesión,9
T19,PROC,19,20,R,9
T20,PROC,39,41,TU,9
T21,PROC,381,400,anatomía patológica,9
T22,ANAT,274,287,pared vesical,9
T23,ANAT,67,70,uro,9
T24,ANAT,116,121,telio,9
T25,DISO,217,226,displasia,9
T26,ANAT,501,521,capa muscular propia,9
T27,ANAT,391,406,tejido muscular,9
T28,DISO,622,645,tumoración fus ocelular,9
T29,ANAT,197,204,células,9
T30,ANAT,320,331,eosinófilos,9
T31,ANAT,211,218,celular,9
T32,ANAT,125,129,idad,9
T33,ANAT,225,232,celular,9
T34,ANAT,133,137,idad,9
T35,ANAT,647,666,células plasmáticas,9
T36,ANAT,351,361,leucocitos,9
T37,PROC,577,593,índice mit ótico,9
T38,ANAT,260,267,nuclear,9
T39,PROC,419,430,anticuerpos,9
T40,CHEM,40,41,M,9
T41,CHEM,81,83,IB,9
T42,CHEM,42,43,-,9
T43,CHEM,43,44,1,9
T44,ANAT,302,309,celular,9
T45,ANAT,177,181,idad,9
T46,ANAT,316,323,tumoral,9
T47,DISO,369,377,necrosis,9
T48,PROC,1270,1297,estudio inmunohisto químico,9
T49,CHEM,193,197,cito,9
T50,CHEM,246,251,quera,9
T51,CHEM,251,256,tinas,9
T52,CHEM,103,105,AE,9
T53,CHEM,53,54,1,9
T54,CHEM,107,109,AE,9
T55,CHEM,55,56,3,9
T56,CHEM,166,169,CAM,9
T57,CHEM,617,628,anticuerpos,9
T58,CHEM,58,59,p,9
T59,CHEM,117,119,80,9
T60,CHEM,709,721,proteína ALK,9
T61,ANAT,421,428,celular,9
T62,ANAT,245,249,idad,9
T63,PROC,2109,2143,anticuerpos frente a máºsculo liso,9
T64,CHEM,127,129,ac,9
T65,CHEM,449,456,tina de,9
T66,CHEM,131,133,My,9
T67,CHEM,331,336,O D 1,9
T68,CHEM,202,205,Cal,9
T69,CHEM,137,139,re,9
T70,CHEM,415,421,tinina,9
T71,CHEM,211,214,CEA,9
T72,CHEM,285,289,cito,9
T73,CHEM,361,366,quera,9
T74,CHEM,2045,2073,tinas de alto peso molecular,9
T75,CHEM,223,226,EMA,9
T76,PROC,301,305,FISH,9
T77,PROC,2205,2234,diagnóstico anatomopatológico,9
T78,DISO,3543,3589,tumor mio fibro bl ástico inflamatorio vesical,9
T1,DISO,1,5,bruc,10
T2,DISO,7,13,elosis,10
T3,DISO,27,40,hiperuricemia,10
T4,DISO,58,77,hipercolesterolemia,10
T5,PROC,29,36,ingresa,10
T6,PROC,36,43,cirugía,10
T7,DISO,181,211,hiperplasia prostática benigna,10
T8,PROC,134,153,estudio diagnóstico,10
T9,PROC,97,109,tacto rectal,10
T10,DISO,73,81,próstata,10
T11,DISO,71,78,adenoma,10
T12,DISO,56,61,tosas,10
T13,PROC,49,53,aden,10
T14,PROC,27,29,om,10
T15,PROC,323,346,ectomía re trop áº bica,10
T16,PROC,331,353,técnica de T . Mill in,10
T17,PROC,33,35,en,10
T18,PROC,69,73,ucle,10
T19,PROC,109,115,ándose,10
T20,DISO,134,141,adenoma,10
T21,PROC,81,85,dado,10
T22,PROC,253,265,intervención,10
T23,PROC,89,93,rein,10
T24,PROC,93,97,gres,10
T25,PROC,25,26,a,10
T26,DISO,776,807,dolor abdominal ( hipo gástrico,10
T27,DISO,131,136,dolor,10
T28,ANAT,244,253,testículo,10
T29,ANAT,365,378,raíz de muslo,10
T30,DISO,523,541,mal estado general,10
T31,PROC,211,218,drenaje,10
T32,PROC,125,129,aden,10
T33,PROC,65,67,om,10
T34,PROC,232,239,ectomía,10
T35,DISO,613,631,Herida quiráºrgica,10
T36,PROC,246,253,Ingresa,10
T37,PROC,397,408,diagnóstico,10
T38,DISO,1111,1141,infección de herida operatoria,10
T39,PROC,1217,1249,tratamiento antibiótico empírico,10
T40,PROC,1210,1241,exploración general y urológica,10
T41,DISO,81,83,or,10
T42,DISO,124,127,qui,10
T43,DISO,127,130,epi,10
T44,DISO,173,177,didi,10
T45,DISO,221,226,mitis,10
T46,DISO,541,553,leucocitosis,10
T47,PROC,1289,1317,tratado de forma sintomática,10
T48,DISO,236,241,dolor,10
T49,ANAT,625,638,zona pu biana,10
T50,PROC,785,801,gammagrafía ósea,10
T51,DISO,401,409,hipercap,10
T52,DISO,307,313,tación,10
T53,CHEM,261,266,radio,10
T54,CHEM,160,163,tra,10
T55,CHEM,271,276,zador,10
T56,ANAT,826,841,tercio superior,10
T57,ANAT,281,286,pubis,10
T58,DISO,1084,1103,osteopatía páº bica,10
T59,PROC,697,709,tratamientos,10
T60,PROC,1358,1381,antibioterapia empírica,10
T61,PROC,541,550,analgesia,10
T62,DISO,306,311,dolor,10
T63,ANAT,807,820,raíz de muslo,10
T64,DISO,379,385,anemia,10
T65,PROC,193,196,VSG,10
T66,PROC,716,727,fibrinógeno,10
T67,PROC,199,202,PCR,10
T68,PROC,738,749,exploración,10
T69,ANAT,341,346,muslo,10
T70,DISO,2140,2171,dolor inespecífico a la presión,10
T71,ANAT,841,853,cara interna,10
T72,DISO,356,361,dolor,10
T73,DISO,1585,1607,afectación neurológica,10
T74,PROC,804,815,exploración,10
T75,DISO,371,376,dolor,10
T76,ANAT,976,989,zona inguinal,10
T77,ANAT,1293,1310,testículo derecho,10
T78,PROC,848,859,diagnóstico,10
T79,DISO,1171,1186,absceso pélvico,10
T80,DISO,1107,1121,cuadro séptico,10
T81,PROC,1041,1054,TAC abdominal,10
T82,ANAT,1540,1559,órganos abdominales,10
T83,ANAT,247,250,sín,10
T84,ANAT,1163,1177,fisis pu biana,10
T85,ANAT,1093,1106,muslo derecho,10
T86,DISO,596,603,absceso,10
T87,ANAT,1721,1741,máºsculos a ductores,10
T88,ANAT,1045,1057,cara interna,10
T89,ANAT,441,446,muslo,10
T90,DISO,535,541,enroje,10
T91,DISO,361,365,cida,10
T92,DISO,638,645,tumefac,10
T93,DISO,185,187,ta,10
T1,PROC,1,9,consultó,11
T2,DISO,5,9,masa,11
T3,ANAT,27,40,polo superior,11
T4,ANAT,46,61,teste izquierdo,11
T5,DISO,45,56,traumatismo,11
T6,DISO,96,115,cuadro inflamatorio,11
T7,DISO,19,22,mal,11
T8,DISO,22,25,des,11
T9,DISO,41,46,censo,11
T10,ANAT,91,101,testicular,11
T11,PROC,111,122,exploración,11
T12,ANAT,34,37,tes,11
T13,ANAT,37,40,tes,11
T14,DISO,79,85,nódulo,11
T15,DISO,57,61,duro,11
T16,DISO,121,129,indoloro,11
T17,ANAT,209,222,polo superior,11
T18,ANAT,256,271,teste izquierdo,11
T19,PROC,559,590,marcadores tumorales germinales,11
T20,PROC,58,61,Eco,11
T21,PROC,241,253,gráficamente,11
T22,DISO,106,111,hidro,11
T23,DISO,89,93,cele,11
T24,ANAT,116,121,teste,11
T25,DISO,145,151,nódulo,11
T26,ANAT,226,235,testículo,11
T27,ANAT,573,595,cabeza del epid ídi mo,11
T28,PROC,649,673,intervención quiráºrgica,11
T29,DISO,113,117,masa,11
T30,PROC,146,151,disec,11
T31,PROC,31,32,ó,11
T32,ANAT,807,833,polo superior testicular y,11
T33,ANAT,97,100,epi,11
T34,ANAT,133,137,didi,11
T35,ANAT,205,211,m ario,11
T36,ANAT,176,181,teste,11
T37,PROC,109,112,ist,11
T38,PROC,408,419,diagnosticó,11
T39,ANAT,609,625,tejido esplénico,11
T40,ANAT,469,481,pulpa blanca,11
T41,ANAT,281,288,centros,11
T42,ANAT,411,421,germinales,11
T43,ANAT,421,431,pulpa roja,11
T44,ANAT,560,573,senos venosos,11
T45,ANAT,969,991,cordones de Bill ro th,11
T46,DISO,541,553,asintomático,11
T47,PROC,829,847,exploración física,11
T1,DISO,1,26,cefalea fron top ari etal,12
T2,DISO,9,17,diplopia,12
T3,DISO,31,46,edema palpebral,12
T4,PROC,25,33,valorado,12
T5,DISO,9,11,ex,12
T6,DISO,11,13,of,12
T7,DISO,19,22,tal,12
T8,DISO,22,25,mos,12
T9,ANAT,25,28,ojo,12
T10,DISO,100,111,inflamación,12
T11,DISO,91,100,hiperemia,12
T12,DISO,452,493,tumefacción palpebral superior e inferior,12
T13,DISO,97,105,diplopia,12
T14,DISO,404,435,alteración de la agudeza visual,12
T15,PROC,267,286,presión intraocular,12
T16,PROC,16,17,P,12
T17,PROC,33,35,IO,12
T18,ANAT,52,55,ojo,12
T19,PROC,55,58,PIO,12
T20,ANAT,58,61,ojo,12
T21,PROC,561,589,exploración del fondo de ojo,12
T22,PROC,274,287,TAC orbitario,12
T23,ANAT,375,392,hueso esfeno ides,12
T24,DISO,116,121,hiper,12
T25,DISO,49,51,os,12
T26,DISO,126,131,tosis,12
T27,ANAT,365,379,cara orbitaria,12
T28,DISO,595,617,masa de partes blandas,12
T29,ANAT,617,639,máºsculo recto lateral,12
T30,ANAT,88,91,cel,12
T31,ANAT,571,590,dillas et mo idales,12
T32,PROC,218,225,ingresó,12
T33,PROC,353,364,RMN craneal,12
T34,DISO,892,919,meningioma hiper os tós ico,12
T35,ANAT,171,176,placa,12
T36,ANAT,316,325,perior bi,12
T37,ANAT,181,186,taria,12
T38,ANAT,889,913,ala mayor de esfeno ides,12
T39,DISO,1331,1366,lesiones fibro ó seas esfeno idales,12
T40,PROC,742,761,biopsia quiráºrgica,12
T41,DISO,321,329,lesiones,12
T42,PROC,288,295,biopsia,12
T43,ANAT,673,689,tejido conectivo,12
T44,ANAT,1248,1277,máºsculo esquelético estriado,12
T45,ANAT,133,136,tra,12
T46,ANAT,91,93,bé,12
T47,ANAT,507,518,culas óseas,12
T48,ANAT,894,913,células epiteliales,12
